"Id","Name","Model","Operating System","Operating Systemn Version","MAC Address","Serial Number","Manufacturer","Friendly Model","Vendor Unique Identifier","Vendor Name","Device Class","Form Factor","Product Type","Audio Enabled","Availability","Location","Retained By ID","Retained By Name","Enabled","Slot Number","Next Reservation Start Time","Next Reservation End Time","Reserved By ID","Reserved By Name","Last In Use","Last Disconnected","Last Connected","Deleted","Notes"
"9113f4de-4d2e-4080-a1c7-7fd796d5a078","iPad5,3(Air 2)","MGL12","IOS","9.0","90:8d:6c:86:08:0f","DMPNV1N9G5VJ","Apple","iPad Air 2","b3ccdef848bbff42c20910bd3ddafdeb6e6ff753","iPad","iPad","Tablet","iPad5,3","False","Offline","","","","True","","","","","","","2016-01-21 04:28:34","","False",""
"4328706a-78a3-4425-9384-e10a1dabfe23","iPod #1","MD723","IOS","9.0","8c:2d:aa:74:fa:93","CCQJK1YFF4K4","Apple","iPod Touch 5G","7ee42cd6c2ec0c025c0c2e2e87eee9d9f5ca1eaf","deviceConnect’s iPod","iPod","Phone","iPod5,1","False","Offline","","","","True","","","","","","","2016-01-21 04:28:34","","False",""
"cab46181-bced-4301-bb31-e10396cc9ae1","Device1111","GT-P6200","Android","3.2","84:25:db:03:25:b4","46411939FE4479BE","samsung","Galaxy Tab 7","46411939FE4479BE","samsung_46411939FE4479BE","","Unknown","","False","Online","","","","True","100000","","","","","","2016-02-02 10:51:03","2016-02-02 10:51:04","False","Trying to serach the notes on device index page"
"b6c9b830-1feb-449b-bad3-61f6691b7037","Galaxy_Tab2","GT-P5100","Android","4.1.2","50:01:bb:1d:98:92","c16077c1e1f4a5f","samsung","Galaxy Tab 2","c16077c1e1f4a5f","samsung_c16077c1e1f4a5f","","Unknown","","False","Online","","","","True","0","","","","","","2016-02-02 10:50:00","2016-02-02 10:51:03","False",""
"6f99bb58-57f5-43f3-90e7-861bf685892a","Canvas4","A210","Android","4.2.1","00:73:8d:03:24:1d","ONWKYH9HPBHYJNOZ","Micromax","Canvas 4","ONWKYH9HPBHYJNOZ","Micromax_ONWKYH9HPBHYJNOZ","","Unknown","","False","Online","","","","True","","2016-02-06 22:30:00","2016-02-06 23:00:00","eef929c2-6b18-40a6-a7ce-b1d82791bad3","Sushant Meher","","2016-02-03 07:24:37","2016-02-03 07:24:39","False","Trying to serach the notes on device index page"
"4788b957-d532-4022-92ed-da3e39476f9d","iPad3_iOS6","MD331","IOS","6.0.1","64:20:0c:57:4b:8a","DMPHN46SDJ8T","Apple","iPad 3","b34e6f3f5677cf6463375f584cdd882ed57667e7","Mobile Labs Ipad-3","iPad","Tablet","iPad3,1","False","Online","","","","True","","","","","","","2016-02-02 10:50:02","2016-02-02 10:51:04","False",""
"563f06fc-07cd-4600-bed5-26057cd8765e","iPhone","MC608","IOS","7.1.2","dc:2b:61:65:bd:0a","7W0426HPA4S","Apple","iPhone 4","49b26360bf63c9c9f2c4723072202e668d6cb4a6","No phone","iPhone","Phone","iPhone3,1","False","Online","","","","True","555555555","","","","","","2016-02-03 07:19:04","2016-02-03 07:19:06","False",""
"e5be1e54-c407-418a-8302-e2b30b717dc2","iPhone4s #1","MC318","IOS","7.1.2","7c:c5:37:bc:1b:05","82033V8PA4S","Apple","iPhone 4","fc9384470487de36071d0d803959ddd6bf35a7de","deviceConnect’s iPhone","iPhone","Phone","iPhone3,1","False","Online","","","","True","","2016-02-06 22:30:00","2016-02-06 23:00:00","eef929c2-6b18-40a6-a7ce-b1d82791bad3","Sushant Meher","","2016-02-03 05:24:19","2016-02-03 05:24:21","False",""
"bb748f8d-cf38-4d7f-9737-331d0a5ac14b","iPod","MKH42","IOS","9.0.2","a4:31:35:d2:c3:17","CCQQC0PAGGK5","Apple","iPod Touch 6G","86cf05a77ce54c954afd758c5d6efbcbc88f0153","deviceConnect’s iPod","iPod","Phone","iPod7,1","False","Online","","7d6d5edb-e62f-407d-9112-0858cbde87dc","Vinita User","True","","","","","","2016-02-02 08:40:08","2016-02-03 03:10:29","2016-02-03 03:10:31","False",""
"5836262a-4ae3-40ba-bf68-8b2440238859","iPad4 #5","MD510","IOS","9.1","bc:3b:af:89:77:ec","DMQJQ3NXF182","Apple","iPad 4","9c28e008f8b0e0a9a2e015f8c2adbb65d825bdde","Noida's iPad","iPad","Tablet","iPad3,4","False","Online","","","","True","1000000000","","","","","","2016-02-02 10:50:04","2016-02-02 10:51:04","False","Hello 1"
